Year,Cumulative Rainfall (mm),Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12
1901.0,1068.7,,,,,,,,,,,1901.0
1902.0,1691.9,,,,,,,,,,,1902.0
1903.0,1590.4,,,,,,,,,,,1903.0
1904.0,982.3,,,,,,,,,,,1904.0
1905.0,919.5,,,,,,,,,,,1905.0
1906.0,1907.6,,,,,,,,,,,1906.0
1907.0,1194.2,,,,,,,,,,,1907.0
1908.0,1225.6,,,,,,,,,,,1908.0
1909.0,727.8,,,,,,,,,,,1909.0
1910.0,1131.0,,,,,,,,,,,1910.0
1911.0,1723.1,,,,,,,,,,,1911.0
1912.0,1127.9,,,,,,,,,,,1912.0
1913.0,2074.0,,,,,,,,,,,1913.0
1914.0,1357.9,,,,,,,,,,,1914.0
1915.0,1088.9,,,,,,,,,,,1915.0
1916.0,914.2,,,,,,,,,,,1916.0
1917.0,1337.2,,,,,,,,,,,1917.0
1918.0,1386.6,,,,,,,,,,,1918.0
1919.0,1883.1,,,,,,,,,,,1919.0
1920.0,2095.2,,,,,,,,,,,1920.0
1921.0,1135.3,,,,,,,,,,,1921.0
1922.0,1153.7,,,,,,,,,,,1922.0
1923.0,1756.5,,,,,,,,,,,1923.0
1924.0,1021.2,,,,,,,,,,,1924.0
1925.0,1580.1,,,,,,,,,,,1925.0
1926.0,1018.4,,,,,,,,,,,1926.0
1927.0,769.2,,,,,,,,,,,1927.0
1928.0,1724.1,,,,,,,,,,,1928.0
1929.0,1404.5,,,,,,,,,,,1929.0
1930.0,2123.9,,,,,,,,,,,1930.0
1931.0,1750.8,,,,,,,,,,,1931.0
1932.0,1885.7,,,,,,,,,,,1932.0
1933.0,1122.7,,,,,,,,,,,1933.0
1934.0,943.5,,,,,,,,,,,1934.0
1935.0,1720.9,,,,,,,,,,,1935.0
1936.0,1110.7,,,,,,,,,,,1936.0
1937.0,1271.4,,,,,,,,,,,1937.0
1938.0,1179.6,,,,,,,,,,,1938.0
1939.0,1421.9,,,,,,,,,,,1939.0
1940.0,1775.1,,,,,,,,,,,1940.0
1941.0,1355.9,,,,,,,,,,,1941.0
1942.0,795.3,,,,,,,,,,,1942.0
1943.0,1707.3,,,,,,,,,,,1943.0
1944.0,2105.0,,,,,,,,,,,1944.0
1945.0,1188.3,,,,,,,,,,,1945.0
1946.0,1510.1,,,,,,,,,,,1946.0
1947.0,960.2,,,,,,,,,,,1947.0
1948.0,1105.6,,,,,,,,,,,1948.0
1949.0,685.0,,,,,,,,,,,1949.0
1950.0,1196.8,,,,,,,,,,,1950.0
1951.0,832.1999999999999,,,,,,,,,,,1951.0
1952.0,866.0,,,,,,,,,,,1952.0
1953.0,1040.0,,,,,,,,,,,1953.0
1954.0,1315.8,,,,,,,,,,,1954.0
1955.0,1374.0,,,,,,,,,,,1955.0
1956.0,1138.8,,,,,,,,,,,1956.0
1957.0,1803.5,,,,,,,,,,,1957.0
1958.0,913.3,,,,,,,,,,,1958.0
1959.0,1256.5,,,,,,,,,,,1959.0
1960.0,2234.3,,,,,,,,,,,1960.0
1961.0,1009.0,,,,,,,,,,,1961.0
1962.0,1479.7,,,,,,,,,,,1962.0
1963.0,2348.1,,,,,,,,,,,1963.0
1964.0,717.4,,,,,,,,,,,1964.0
1965.0,1312.7,,,,,,,,,,,1965.0
1966.0,1266.8,,,,,,,,,,,1966.0
1967.0,1582.7,,,,,,,,,,,1967.0
1968.0,742.7,,,,,,,,,,,1968.0
1969.0,1781.6,,,,,,,,,,,1969.0
1970.0,1799.1,,,,,,,,,,,1970.0
1971.0,1500.8,,,,,,,,,,,1971.0
1972.0,1641.8,,,,,,,,,,,1972.0
1973.0,1251.9,,,,,,,,,,,1973.0
1974.0,719.1,,,,,,,,,,,1974.0
