Year,Annual Rainfall (mm)
1901,1068.7
1902,1691.9
1903,1590.4
1904,982.3
1905,919.5
1906,1907.6
1907,1194.1999999999998
1908,1225.6
1909,727.7999999999998
1910,1131.0
1911,1723.1
1912,1127.9
1913,2074.0
1914,1357.9
1915,1088.9
1916,914.2
1917,1337.2
1918,1386.6
1919,1883.1
1920,2095.2
1921,1135.3
1922,1153.7
1923,1756.4999999999995
1924,1021.2
1925,1580.1
1926,1018.4
1927,769.1999999999999
1928,1724.1
1929,1404.5
1930,2123.9
1931,1750.7999999999995
1932,1885.7
1933,1122.7
1934,943.5
1935,1720.9
1936,1110.7
1937,1271.4
1938,1179.6
1939,1421.9
1940,1775.1
1941,1355.9
1942,795.3
1943,1707.3000000000002
1944,2105.0
1945,1188.3
1946,1510.1
1947,960.2
1948,1105.6
1949,685.0
1950,1196.8
1951,832.1999999999999
1952,866.0
1953,1040.0
1954,1315.8000000000002
1955,1374.0
1956,1138.8
1957,1803.5
1958,913.3
1959,1256.5
1960,2234.3
1961,1009.0
1962,1479.7
1963,2348.1
1964,717.4
1965,1312.7
1966,1266.8
1967,1582.6999999999998
1968,742.6999999999999
1969,1781.6
1970,1799.1
1971,1500.7999999999995
1972,1641.8000000000002
1973,1251.9
1974,719.1
1975,1421.6
1976,1572.0
1977,1858.5
1978,1647.0
1979,1506.6
1980,880.9
1981,1610.4
1982,1006.9
1983,1647.0
1984,1618.4999999999998
1985,1838.9
1986,1443.9
1987,1341.7
1988,1263.8
1989,1277.4999999999998
1990,1326.4
1991,1687.2
1992,913.2
1993,1858.4
1994,1047.8
1995,2324.5
1996,1674.3000000000002
1997,1945.4
1998,1309.8000000000002
1999,1197.0
2000,1314.9
2001,1011.6
2002,875.1999999999999
2003,828.0
2004,1828.2
2005,1792.4
2006,1147.3
2007,1462.9
2008,1546.4
2009,1941.4
2010,1870.6
2011,2034.5
2012,1515.2
2013,1032.1
2014,1248.0
2015,1857.6
2016,695.4
2017,1767.3
2018,1198.6
2019,1475.1
2020,1504.7
2021,2244.8
2022,1323.9
2023,1473.8
2024,1703.4999912157657
