Date,Rainfall (mm),Year
1901-11-11,113.4,1901
1902-01-03,83.4,1902
1903-12-30,144.2,1903
1904-12-19,85.8,1904
1905-10-12,77.6,1905
1906-11-14,213.4,1906
1907-11-10,162.8,1907
1908-10-24,183.6,1908
1909-11-01,49.7,1909
1910-07-24,137.9,1910
1911-12-23,207.8,1911
1912-11-17,176.3,1912
1913-11-29,175.1,1913
1914-12-03,84.5,1914
1915-12-25,85.1,1915
1916-11-15,88.8,1916
1917-11-25,134.8,1917
1918-11-18,314.5,1918
1919-11-02,153.0,1919
1920-11-25,164.9,1920
1921-01-12,76.4,1921
1922-10-27,80.1,1922
1923-12-17,120.0,1923
1924-11-05,86.1,1924
1925-10-06,66.7,1925
1926-11-06,104.9,1926
1927-01-07,96.5,1927
1928-11-10,97.6,1928
1929-11-23,98.6,1929
1930-10-23,235.1,1930
1931-12-24,330.5,1931
1932-11-25,293.6,1932
1933-11-09,128.0,1933
1934-10-28,156.5,1934
1935-11-15,189.4,1935
1936-03-28,78.9,1936
1937-11-03,100.2,1937
1938-02-08,120.6,1938
1939-04-13,150.2,1939
1940-11-06,123.1,1940
1941-12-03,167.6,1941
1942-04-24,102.3,1942
1943-05-14,147.0,1943
1944-11-22,168.3,1944
1945-08-27,104.3,1945
1946-11-02,156.1,1946
1947-02-20,97.6,1947
1948-11-16,150.0,1948
1949-11-27,65.6,1949
1950-11-15,102.6,1950
1951-11-18,79.1,1951
1952-12-07,86.7,1952
1953-11-29,88.1,1953
1954-12-10,216.1,1954
1955-04-20,148.6,1955
1956-11-20,151.5,1956
1957-12-28,122.3,1957
1958-11-20,143.3,1958
1959-11-28,108.2,1959
1960-11-15,199.6,1960
1961-12-04,79.0,1961
1962-10-02,51.9,1962
1963-12-05,262.7,1963
1964-12-23,74.7,1964
1965-12-06,103.1,1965
1966-12-07,86.0,1966
1967-12-07,209.3,1967
1968-12-18,59.8,1968
1969-12-28,199.4,1969
1970-11-20,223.2,1970
1971-12-08,162.4,1971
1972-12-06,124.5,1972
1973-10-21,114.5,1973
1974-09-24,74.6,1974
1975-11-16,154.9,1975
1976-10-15,97.3,1976
1977-11-12,170.0,1977
1978-11-04,162.4,1978
1979-09-17,109.3,1979
1980-11-18,89.9,1980
1981-10-24,114.9,1981
1982-11-03,135.8,1982
1983-12-22,297.7,1983
1984-02-06,87.5,1984
1985-11-11,271.1,1985
1986-01-12,114.9,1986
1987-10-06,97.3,1987
1988-11-11,149.5,1988
1989-11-12,131.6,1989
1990-11-26,164.5,1990
1991-11-15,228.1,1991
1992-11-14,102.4,1992
1993-11-25,150.3,1993
1994-11-10,63.0,1994
1995-11-05,214.9,1995
1996-12-10,221.9,1996
1997-11-07,174.6,1997
1998-12-09,169.1,1998
1999-11-21,87.8,1999
2000-11-24,127.9,2000
2001-12-23,76.0,2001
2002-02-02,93.4,2002
2003-11-09,55.3,2003
2004-10-29,158.8,2004
2005-11-06,157.6,2005
2006-08-22,70.9,2006
2007-12-14,149.7,2007
2008-11-27,345.7,2008
2009-12-22,153.2,2009
2010-12-04,115.6,2010
2011-12-31,101.2,2011
2012-07-10,56.9,2012
2013-01-09,112.9,2013
2014-11-13,105.0,2014
2015-12-09,154.7,2015
2016-05-17,80.0,2016
2017-11-04,136.5,2017
2018-11-02,142.3,2018
2019-12-01,119.3,2019
2020-12-03,171.0,2020
2021-11-10,253.6,2021
2022-11-04,78.2,2022
2023-11-14,112.5,2023
2024-11-27,129.8999939,2024
