Date,Rainfall (mm),Year,Unnamed: 3,Unnamed: 4,Rainfall,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18
1901-11-11,113.4,1901,,1901,113.4,,,,Rainfall,,,Rainfall,,,Rainfall,,,Rainfall
1902-01-03,83.4,1902,,1902,83.4,,,1901.0,113.4,,1931.0,330.5,,1961.0,79,,2000.0,127.9
1903-12-30,144.2,1903,,1903,144.2,,,1902.0,83.4,,1932.0,293.6,,1962.0,51.9,,2001.0,76
1904-12-19,85.8,1904,,1904,85.8,,,1903.0,144.2,,1933.0,128,,1963.0,262.7,,2002.0,93.4
1905-10-12,77.6,1905,,1905,77.6,,,1904.0,85.8,,1934.0,156.5,,1964.0,74.7,,2003.0,55.3
1906-11-14,213.4,1906,,1906,213.4,,,1905.0,77.6,,1935.0,189.4,,1965.0,103.1,,2004.0,158.8
1907-11-10,162.8,1907,,1907,162.8,,,1906.0,213.4,,1936.0,78.9,,1966.0,86,,2005.0,157.6
1908-10-24,183.6,1908,,1908,183.6,,,1907.0,162.8,,1937.0,100.2,,1967.0,209.3,,2006.0,70.9
1909-11-01,49.7,1909,,1909,49.7,,,1908.0,183.6,,1938.0,120.6,,1968.0,59.8,,2007.0,149.7
1910-07-24,137.9,1910,,1910,137.9,,,1909.0,49.7,,1939.0,150.2,,1969.0,199.4,,2008.0,345.7
1911-12-23,207.8,1911,,1911,207.8,,,1910.0,137.9,,1940.0,123.1,,1970.0,223.2,,2009.0,153.2
1912-11-17,176.3,1912,,1912,176.3,,,1911.0,207.8,,1941.0,167.6,,1971.0,162.4,,2010.0,115.6
1913-11-29,175.1,1913,,1913,175.1,,,1912.0,176.3,,1942.0,102.3,,1972.0,124.5,,2011.0,101.2
1914-12-03,84.5,1914,,1914,84.5,,,1913.0,175.1,,1943.0,147,,1973.0,114.5,,2012.0,56.9
1915-12-25,85.1,1915,,1915,85.1,,,1914.0,84.5,,1944.0,168.3,,1974.0,74.6,,2013.0,112.9
1916-11-15,88.8,1916,,1916,88.8,,,1915.0,85.1,,1945.0,104.3,,1975.0,154.9,,2014.0,105
1917-11-25,134.8,1917,,1917,134.8,,,1916.0,88.8,,1946.0,156.1,,1976.0,97.3,,2015.0,154.7
1918-11-18,314.5,1918,,1918,314.5,,,1917.0,134.8,,1947.0,97.6,,1977.0,170,,2016.0,80
1919-11-02,153.0,1919,,1919,153.0,,,1918.0,314.5,,1948.0,150,,1978.0,162.4,,2017.0,136.5
1920-11-25,164.9,1920,,1920,164.9,,,1919.0,153,,1949.0,65.6,,1979.0,109.3,,2018.0,142.3
1921-01-12,76.4,1921,,1921,76.4,,,1920.0,164.9,,1950.0,102.6,,1980.0,89.9,,2019.0,119.3
1922-10-27,80.1,1922,,1922,80.1,,,1921.0,76.4,,1951.0,79.1,,1981.0,114.9,,2020.0,171
1923-12-17,120.0,1923,,1923,120.0,,,1922.0,80.1,,1952.0,86.7,,1982.0,135.8,,2021.0,253.6
1924-11-05,86.1,1924,,1924,86.1,,,1923.0,120,,1953.0,88.1,,1983.0,297.7,,2022.0,78.2
1925-10-06,66.7,1925,,1925,66.7,,,1924.0,86.1,,1954.0,216.1,,1984.0,87.5,,2023.0,112.5
1926-11-06,104.9,1926,,1926,104.9,,,1925.0,66.7,,1955.0,148.6,,1985.0,271.1,,2024.0,129.8999939
1927-01-07,96.5,1927,,1927,96.5,,,1926.0,104.9,,1956.0,151.5,,1986.0,114.9,,,
1928-11-10,97.6,1928,,1928,97.6,,,1927.0,96.5,,1957.0,122.3,,1987.0,97.3,,,
1929-11-23,98.6,1929,,1929,98.6,,,1928.0,97.6,,1958.0,143.3,,1988.0,149.5,,,
1930-10-23,235.1,1930,,1930,235.1,,,1929.0,98.6,,1959.0,108.2,,1989.0,131.6,,,
1931-12-24,330.5,1931,,1931,330.5,,,1930.0,235.1,,1960.0,199.6,,1990.0,164.5,,,
1932-11-25,293.6,1932,,1932,293.6,,,,,,,,,1991.0,228.1,,,
1933-11-09,128.0,1933,,1933,128.0,,,,,,,,,1992.0,102.4,,,
1934-10-28,156.5,1934,,1934,156.5,,,,,,,,,1993.0,150.3,,,
1935-11-15,189.4,1935,,1935,189.4,,,,,,,,,1994.0,63,,,
1936-03-28,78.9,1936,,1936,78.9,,,,,,,,,1995.0,214.9,,,
1937-11-03,100.2,1937,,1937,100.2,,,,,,,,,1996.0,221.9,,,
1938-02-08,120.6,1938,,1938,120.6,,,,,,,,,1997.0,174.6,,,
1939-04-13,150.2,1939,,1939,150.2,,,,,,,,,1998.0,169.1,,,
1940-11-06,123.1,1940,,1940,123.1,,,,,,,,,1999.0,87.8,,,
1941-12-03,167.6,1941,,1941,167.6,,,,,,,,,,,,,
1942-04-24,102.3,1942,,1942,102.3,,,,,,,,,,,,,
1943-05-14,147.0,1943,,1943,147.0,,,,,,,,,,,,,
1944-11-22,168.3,1944,,1944,168.3,,,,,,,,,,,,,
1945-08-27,104.3,1945,,1945,104.3,,,,,,,,,,,,,
1946-11-02,156.1,1946,,1946,156.1,,,,,,,,,,,,,
1947-02-20,97.6,1947,,1947,97.6,,,,,,,,,,,,,
1948-11-16,150.0,1948,,1948,150.0,,,,,,,,,,,,,
1949-11-27,65.6,1949,,1949,65.6,,,,,,,,,,,,,
1950-11-15,102.6,1950,,1950,102.6,,,,,,,,,,,,,
1951-11-18,79.1,1951,,1951,79.1,,,,,,,,,,,,,
1952-12-07,86.7,1952,,1952,86.7,,,,,,,,,,,,,
1953-11-29,88.1,1953,,1953,88.1,,,,,,,,,,,,,
1954-12-10,216.1,1954,,1954,216.1,,,,,,,,,,,,,
1955-04-20,148.6,1955,,1955,148.6,,,,,,,,,,,,,
1956-11-20,151.5,1956,,1956,151.5,,,,,,,,,,,,,
1957-12-28,122.3,1957,,1957,122.3,,,,,,,,,,,,,
1958-11-20,143.3,1958,,1958,143.3,,,,,,,,,,,,,
1959-11-28,108.2,1959,,1959,108.2,,,,,,,,,,,,,
1960-11-15,199.6,1960,,1960,199.6,,,,,,,,,,,,,
1961-12-04,79.0,1961,,1961,79.0,,,,,,,,,,,,,
1962-10-02,51.9,1962,,1962,51.9,,,,,,,,,,,,,
1963-12-05,262.7,1963,,1963,262.7,,,,,,,,,,,,,
1964-12-23,74.7,1964,,1964,74.7,,,,,,,,,,,,,
1965-12-06,103.1,1965,,1965,103.1,,,,,,,,,,,,,
1966-12-07,86.0,1966,,1966,86.0,,,,,,,,,,,,,
1967-12-07,209.3,1967,,1967,209.3,,,,,,,,,,,,,
1968-12-18,59.8,1968,,1968,59.8,,,,,,,,,,,,,
1969-12-28,199.4,1969,,1969,199.4,,,,,,,,,,,,,
1970-11-20,223.2,1970,,1970,223.2,,,,,,,,,,,,,
1971-12-08,162.4,1971,,1971,162.4,,,,,,,,,,,,,
1972-12-06,124.5,1972,,1972,124.5,,,,,,,,,,,,,
1973-10-21,114.5,1973,,1973,114.5,,,,,,,,,,,,,
1974-09-24,74.6,1974,,1974,74.6,,,,,,,,,,,,,
1975-11-16,154.9,1975,,1975,154.9,,,,,,,,,,,,,
1976-10-15,97.3,1976,,1976,97.3,,,,,,,,,,,,,
1977-11-12,170.0,1977,,1977,170.0,,,,,,,,,,,,,
1978-11-04,162.4,1978,,1978,162.4,,,,,,,,,,,,,
1979-09-17,109.3,1979,,1979,109.3,,,,,,,,,,,,,
1980-11-18,89.9,1980,,1980,89.9,,,,,,,,,,,,,
1981-10-24,114.9,1981,,1981,114.9,,,,,,,,,,,,,
1982-11-03,135.8,1982,,1982,135.8,,,,,,,,,,,,,
1983-12-22,297.7,1983,,1983,297.7,,,,,,,,,,,,,
1984-02-06,87.5,1984,,1984,87.5,,,,,,,,,,,,,
1985-11-11,271.1,1985,,1985,271.1,,,,,,,,,,,,,
1986-01-12,114.9,1986,,1986,114.9,,,,,,,,,,,,,
1987-10-06,97.3,1987,,1987,97.3,,,,,,,,,,,,,
1988-11-11,149.5,1988,,1988,149.5,,,,,,,,,,,,,
1989-11-12,131.6,1989,,1989,131.6,,,,,,,,,,,,,
1990-11-26,164.5,1990,,1990,164.5,,,,,,,,,,,,,
1991-11-15,228.1,1991,,1991,228.1,,,,,,,,,,,,,
1992-11-14,102.4,1992,,1992,102.4,,,,,,,,,,,,,
1993-11-25,150.3,1993,,1993,150.3,,,,,,,,,,,,,
1994-11-10,63.0,1994,,1994,63.0,,,,,,,,,,,,,
1995-11-05,214.9,1995,,1995,214.9,,,,,,,,,,,,,
1996-12-10,221.9,1996,,1996,221.9,,,,,,,,,,,,,
1997-11-07,174.6,1997,,1997,174.6,,,,,,,,,,,,,
1998-12-09,169.1,1998,,1998,169.1,,,,,,,,,,,,,
1999-11-21,87.8,1999,,1999,87.8,,,,,,,,,,,,,
2000-11-24,127.9,2000,,2000,127.9,,,,,,,,,,,,,
2001-12-23,76.0,2001,,2001,76.0,,,,,,,,,,,,,
2002-02-02,93.4,2002,,2002,93.4,,,,,,,,,,,,,
2003-11-09,55.3,2003,,2003,55.3,,,,,,,,,,,,,
2004-10-29,158.8,2004,,2004,158.8,,,,,,,,,,,,,
2005-11-06,157.6,2005,,2005,157.6,,,,,,,,,,,,,
2006-08-22,70.9,2006,,2006,70.9,,,,,,,,,,,,,
2007-12-14,149.7,2007,,2007,149.7,,,,,,,,,,,,,
2008-11-27,345.7,2008,,2008,345.7,,,,,,,,,,,,,
2009-12-22,153.2,2009,,2009,153.2,,,,,,,,,,,,,
2010-12-04,115.6,2010,,2010,115.6,,,,,,,,,,,,,
2011-12-31,101.2,2011,,2011,101.2,,,,,,,,,,,,,
2012-07-10,56.9,2012,,2012,56.9,,,,,,,,,,,,,
2013-01-09,112.9,2013,,2013,112.9,,,,,,,,,,,,,
2014-11-13,105.0,2014,,2014,105.0,,,,,,,,,,,,,
2015-12-09,154.7,2015,,2015,154.7,,,,,,,,,,,,,
2016-05-17,80.0,2016,,2016,80.0,,,,,,,,,,,,,
2017-11-04,136.5,2017,,2017,136.5,,,,,,,,,,,,,
2018-11-02,142.3,2018,,2018,142.3,,,,,,,,,,,,,
2019-12-01,119.3,2019,,2019,119.3,,,,,,,,,,,,,
2020-12-03,171.0,2020,,2020,171.0,,,,,,,,,,,,,
2021-11-10,253.6,2021,,2021,253.6,,,,,,,,,,,,,
2022-11-04,78.2,2022,,2022,78.2,,,,,,,,,,,,,
2023-11-14,112.5,2023,,2023,112.5,,,,,,,,,,,,,
2024-11-27,129.8999939,2024,,2024,129.8999939,,,,,,,,,,,,,
