Year,Total_Rainfall,Max_Daily_Rainfall,Max_Consecutive_Rainy_Days,Max_Dry_Spell_Duration,Annual_Rainfall_Anomaly
1901,1068.7,80.9,14,37,-332.47903218722377
1902,1691.9,97.4,15,49,290.7209678127763
1903,1590.4,126.5,11,45,189.22096781277628
1904,982.3,103.8,7,74,-418.87903218722386
1905,919.5,101.0,19,43,-481.6790321872238
1906,1907.6,207.6,14,52,506.4209678127761
1907,1194.2,140.6,14,31,-206.97903218722377
1908,1225.6,136.0,15,41,-175.5790321872239
1909,727.8,51.6,13,33,-673.3790321872239
1910,1131.0,82.7,16,54,-270.1790321872238
1911,1723.1,174.6,10,67,321.9209678127761
1912,1127.9,214.7,11,73,-273.2790321872237
1913,2074.0,228.1,20,70,672.8209678127762
1914,1357.9,102.2,23,46,-43.27903218722372
1915,1088.9,74.8,8,37,-312.2790321872237
1916,914.2,84.4,14,49,-486.97903218722377
1917,1337.2,126.9,16,37,-63.979032187223766
1918,1386.6000000000001,293.3,20,34,-14.579032187223675
1919,1883.1,199.0,19,42,481.9209678127761
1920,2095.2,186.8,18,49,694.020967812776
1921,1135.3,87.6,13,69,-265.87903218722386
1922,1153.7,72.0,21,56,-247.47903218722377
1923,1756.5,213.0,14,44,355.3209678127762
1924,1021.2,112.8,18,50,-379.97903218722377
1925,1580.1000000000001,86.2,17,37,178.92096781277633
1926,1018.4,104.6,9,52,-382.77903218722383
1927,769.2,98.9,10,42,-631.9790321872238
1928,1724.1,90.1,14,49,322.9209678127761
1929,1404.5,100.6,13,48,3.320967812776189
1930,2123.9,356.1,21,31,722.7209678127763
1931,1750.8,349.5,12,72,349.62096781277614
1932,1885.7,304.2,9,36,484.52096781277623
1933,1122.7,130.7,9,33,-278.47903218722377
1934,943.5,137.0,15,34,-457.6790321872238
1935,1720.9,155.1,8,66,319.7209678127763
1936,1110.7,110.0,7,51,-290.47903218722377
1937,1271.4,110.8,15,32,-129.77903218722372
1938,1179.6,125.5,11,31,-221.5790321872239
1939,1421.9,132.8,8,54,20.72096781277628
1940,1775.1000000000001,210.3,27,40,373.9209678127763
1941,1355.9,123.7,20,50,-45.27903218722372
1942,795.3,71.9,17,53,-605.8790321872239
1943,1707.3,153.3,9,36,306.12096781277614
1944,2105.0,187.8,20,36,703.8209678127762
1945,1188.3,96.1,9,43,-212.87903218722386
1946,1510.1,119.4,19,52,108.9209678127761
1947,960.2,84.9,8,24,-440.97903218722377
1948,1105.6000000000001,133.4,8,36,-295.5790321872237
1949,685.0,62.8,8,41,-716.1790321872238
1950,1196.8,133.9,8,41,-204.37903218722386
1951,832.1999999999999,56.3,6,62,-568.9790321872239
1952,866.0,102.3,8,40,-535.1790321872238
1953,1040.0,76.9,13,33,-361.1790321872238
1954,1315.8,190.6,9,37,-85.37903218722386
1955,1374.0,142.8,12,40,-27.17903218722381
1956,1138.8,187.1,23,64,-262.37903218722386
1957,1803.5,126.4,12,53,402.3209678127762
1958,913.3,177.2,8,66,-487.87903218722386
1959,1256.5,119.2,11,61,-144.6790321872238
1960,2234.3,212.5,26,40,833.1209678127764
1961,1009.0,94.2,13,77,-392.1790321872238
1962,1479.7,69.2,18,29,78.52096781277623
1963,2348.1,379.7,12,39,946.9209678127761
1964,717.4,84.8,6,79,-683.7790321872238
1965,1312.7,119.0,20,41,-88.47903218722377
1966,1266.8,117.5,9,62,-134.37903218722386
1967,1582.7,158.4,11,31,181.52096781277623
1968,742.7,51.6,9,32,-658.4790321872238
1969,1781.6,161.1,10,47,380.4209678127761
1970,1799.1000000000001,220.3,13,41,397.9209678127763
1971,1500.8,196.3,17,39,99.62096781277614
1972,1641.8,157.2,12,83,240.62096781277614
1973,1251.9,102.8,13,45,-149.27903218722372
1974,719.1,51.2,5,39,-682.0790321872238
1975,1421.6000000000001,84.7,14,29,20.420967812776325
1976,1572.0,91.3,17,45,170.8209678127762
1977,1858.5,252.8,20,23,457.3209678127762
1978,1647.0,220.5,22,61,245.8209678127762
1979,1506.6,107.1,29,67,105.4209678127761
1980,880.9,65.9,13,69,-520.2790321872238
1981,1610.3999999999999,154.6,14,44,209.22096781277605
1982,1006.9,122.9,10,56,-394.27903218722383
1983,1647.0,315.8,10,115,245.8209678127762
1984,1618.5,94.0,17,41,217.3209678127762
1985,1838.9,240.1,20,55,437.7209678127763
1986,1443.9,136.3,13,48,42.72096781277628
1987,1341.7,95.4,15,32,-59.479032187223766
1988,1263.8,157.9,15,43,-137.37903218722386
1989,1277.5,120.5,14,36,-123.67903218722381
1990,1326.4,118.7,17,36,-74.77903218722372
1991,1687.2,321.9,16,71,286.02096781277623
1992,913.2,68.2,16,97,-487.97903218722377
1993,1858.4,133.5,21,52,457.2209678127763
1994,1047.8,86.9,13,34,-353.37903218722386
1995,2324.5,508.3,8,51,923.3209678127762
1996,1674.3,171.5,12,80,273.12096781277614
1997,1945.4,177.8,13,69,544.2209678127763
1998,1309.8,131.4,12,49,-91.37903218722386
1999,1197.0,104.9,11,24,-204.1790321872238
2000,1314.9,133.7,7,19,-86.27903218722372
2001,1011.6,49.9,11,67,-389.5790321872238
2002,875.2,151.6,12,76,-525.9790321872238
2003,828.0,105.5,18,52,-573.1790321872238
2004,1828.2,291.5,19,39,427.02096781277623
2005,1792.4,255.8,10,51,391.2209678127763
2006,1147.3,95.5,16,47,-253.87903218722386
2007,1462.9,150.4,12,44,61.72096781277628
2008,1546.4,203.3,17,28,145.22096781277628
2009,1941.4,170.2,15,39,540.2209678127763
2010,1870.6,166.0,15,61,469.4209678127761
2011,2034.5,95.7,27,28,633.3209678127762
2012,1515.2,57.1,26,39,114.02096781277623
2013,1032.1,68.9,7,33,-369.0790321872239
2014,1248.0,90.7,13,68,-153.1790321872238
2015,1857.6,154.1,13,61,456.4209678127761
2016,695.4,119.4,10,70,-705.7790321872238
2017,1767.3,112.1,19,53,366.12096781277614
2018,1198.6,153.6,9,27,-202.5790321872239
2019,1475.1000000000001,124.5,22,62,73.92096781277633
2020,1504.7,147.4,17,67,103.52096781277623
2021,2244.8,289.6,18,47,843.6209678127764
2022,1323.9,90.1,18,16,-77.27903218722372
2023,1473.8,136.3,18,23,72.62096781277614
2024,1703.4999912157655,173.8999938964844,10,60,302.32095902854167
