Date,Rainfall (mm),Consecutive_Rainy_Days,Dry_Spell_Duration,Daily_Rainfall_Anomaly
1901-01-01,1.5,1,0,-2.662903225806452
1901-01-02,0.0,0,1,-3.441129032354201
1901-01-03,0.0,0,2,-2.170161290322581
1901-01-04,0.0,0,3,-2.3733870967741937
1901-01-05,0.0,0,4,-3.029032258076533
1901-01-06,0.0,0,5,-2.864516129032258
1901-01-07,0.0,0,6,-3.702419360991447
1901-01-08,0.0,0,7,-6.720967692713583
1901-01-09,0.0,0,8,-3.205645155137585
1901-01-10,1.2,1,0,-2.8637096774193544
1901-01-11,0.4,2,0,-2.7370967741935486
1901-01-12,16.7,3,0,11.621774193548386
1901-01-13,3.6,4,0,-0.24677419354838692
1901-01-14,0.0,0,1,-0.6169354838709677
1901-01-15,0.0,0,2,-2.193548387096774
1901-01-16,0.0,0,3,-0.8903225806451612
1901-01-17,0.0,0,4,-1.7669354838709677
1901-01-18,0.0,0,5,-1.685483870967742
1901-01-19,0.0,0,6,-0.6161290322580646
1901-01-20,0.9,1,0,-4.013709677419355
1901-01-21,0.0,0,1,-3.5870967741935487
1901-01-22,0.0,0,2,-3.6887096774193546
1901-01-23,1.9,1,0,1.0241935483870968
1901-01-24,0.0,0,1,-0.9112903225806451
1901-01-25,0.0,0,2,-1.0120967741935485
1901-01-26,0.0,0,3,-1.1024193548387096
1901-01-27,0.0,0,4,-0.625
1901-01-28,0.0,0,5,-1.296774193548387
1901-01-29,0.0,0,6,-0.7596774193548387
1901-01-30,0.0,0,7,-0.4258064516129032
1901-01-31,0.0,0,8,-0.36774193548387096
1901-02-01,0.0,0,9,-0.32096774193548383
1901-02-02,0.0,0,10,-1.7314516129032258
1901-02-03,0.0,0,11,-1.238709677419355
1901-02-04,0.0,0,12,-0.6717741935483871
1901-02-05,0.0,0,13,-0.6298387096774194
1901-02-06,0.0,0,14,-0.9806451612903226
1901-02-07,0.0,0,15,-2.454032258064516
1901-02-08,0.0,0,16,-1.4637096774193548
1901-02-09,0.0,0,17,-0.7435483870967742
1901-02-10,0.0,0,18,-0.2241935483870968
1901-02-11,0.0,0,19,-0.4620967741935484
1901-02-12,0.0,0,20,-1.1
1901-02-13,0.0,0,21,-0.9096774193548387
1901-02-14,0.5,1,0,0.12096774193548387
1901-02-15,24.3,2,0,23.51451612903226
1901-02-16,0.0,0,1,-0.8032258064516129
1901-02-17,4.1,1,0,3.7282258064516127
1901-02-18,15.6,2,0,14.883870967741935
1901-02-19,4.1,3,0,2.9774193548387093
1901-02-20,0.0,0,1,-1.5475806451612903
1901-02-21,0.3,1,0,-1.1056451612903226
1901-02-22,0.0,0,1,-0.6717741935483871
1901-02-23,0.0,0,2,-0.6201612903225807
1901-02-24,0.0,0,3,-0.5
1901-02-25,0.0,0,4,-0.9080645161290322
1901-02-26,0.0,0,5,-0.5387096774193548
1901-02-27,0.0,0,6,-0.5362903225806451
1901-02-28,0.0,0,7,-0.817741935483871
1901-03-01,0.0,0,8,-0.3596774193548387
1901-03-02,0.0,0,9,-0.5709677419354838
1901-03-03,0.0,0,10,-0.8516129032258064
1901-03-04,0.0,0,11,-0.6870967741935484
1901-03-05,0.6,1,0,-0.9233870967741936
1901-03-06,0.0,0,1,-0.657258064516129
1901-03-07,0.0,0,2,-0.6129032258064516
1901-03-08,0.0,0,3,-0.7153225806451613
1901-03-09,0.0,0,4,-0.3959677419354839
1901-03-10,0.0,0,5,-0.714516129032258
1901-03-11,0.0,0,6,-1.0048387096774194
1901-03-12,0.0,0,7,-1.3387096774193548
1901-03-13,0.0,0,8,-0.717741935483871
1901-03-14,0.0,0,9,-2.6588709677419353
1901-03-15,4.5,1,0,3.8532258064516127
1901-03-16,0.2,2,0,-0.02903225806451612
1901-03-17,1.9,3,0,1.683064516129032
1901-03-18,0.0,0,1,-0.24516129032258063
1901-03-19,0.0,0,2,-0.12096774193548387
1901-03-20,0.0,0,3,-0.3129032258064516
1901-03-21,0.0,0,4,-0.3169354838709677
1901-03-22,0.0,0,5,-0.7282258072207052
1901-03-23,0.0,0,6,-0.9790322580645161
1901-03-24,0.0,0,7,-0.30564516129032254
1901-03-25,0.0,0,8,-0.16370967741935485
1901-03-26,0.0,0,9,-0.6895161290322581
1901-03-27,0.0,0,10,-0.2846774193548387
1901-03-28,0.0,0,11,-0.8322580645161289
1901-03-29,0.0,0,12,-0.8169354838709677
1901-03-30,0.0,0,13,-0.5830645161290323
1901-03-31,0.0,0,14,-0.5153225806451612
1901-04-01,0.0,0,15,-1.445967741935484
1901-04-02,0.0,0,16,-0.4314516129993623
1901-04-03,0.0,0,17,-0.6741935483870968
1901-04-04,0.0,0,18,-1.261290322580645
1901-04-05,0.0,0,19,-1.2419354838709677
1901-04-06,0.0,0,20,-0.5233870967741936
1901-04-07,0.0,0,21,-0.3588709677419355
1901-04-08,0.0,0,22,-0.25806451612903225
1901-04-09,0.0,0,23,-0.4120967741935484
1901-04-10,0.0,0,24,-0.9943548387096774
1901-04-11,0.0,0,25,-1.9314516129032258
1901-04-12,0.0,0,26,-2.5935483870967744
1901-04-13,0.0,0,27,-3.6379032258545196
1901-04-14,0.0,0,28,-2.988709677419355
1901-04-15,0.0,0,29,-0.8669354838709677
1901-04-16,0.0,0,30,-0.5967741935483871
1901-04-17,0.0,0,31,-1.0919354838709678
1901-04-18,0.0,0,32,-1.2701612903225807
1901-04-19,0.0,0,33,-1.1524193548387098
1901-04-20,0.0,0,34,-1.3048387096774194
1901-04-21,0.0,0,35,-1.0516129032258066
1901-04-22,0.0,0,36,-1.4024193548387098
1901-04-23,0.0,0,37,-0.9475806451612904
1901-04-24,1.9,1,0,0.9741935483870966
1901-04-25,1.9,2,0,0.7903225806451613
1901-04-26,0.5,3,0,-0.7661290322580645
1901-04-27,2.2,4,0,1.6298387096774194
1901-04-28,8.2,5,0,7.512096774193548
1901-04-29,0.5,6,0,-0.16129032258064513
1901-04-30,0.0,0,1,-0.532258064516129
1901-05-01,4.9,1,0,3.4266129032258066
1901-05-02,0.1,2,0,-0.6629032258064517
1901-05-03,0.0,0,1,-0.8733870967741936
1901-05-04,16.6,1,0,14.756451612903227
1901-05-05,0.0,0,1,-1.5153225806451613
1901-05-06,0.0,0,2,-2.3379032258064516
1901-05-07,0.0,0,3,-3.625806451612903
1901-05-08,39.6,1,0,38.38548387096775
1901-05-09,8.2,2,0,6.896774193356113
1901-05-10,0.0,0,1,-1.0112903224845087
1901-05-11,0.0,0,2,-0.960483870967742
1901-05-12,0.0,0,3,-1.011290322580645
1901-05-13,0.0,0,4,-2.7233870967741933
1901-05-14,0.0,0,5,-2.0588709677539527
1901-05-15,0.0,0,6,-0.9862903225806451
1901-05-16,0.0,0,7,-2.584677419450975
1901-05-17,0.0,0,8,-2.7548387219828943
1901-05-18,0.7,1,0,-2.180645162059415
1901-05-19,0.0,0,1,-1.6911290322580645
1901-05-20,0.2,1,0,-1.868548387096774
1901-05-21,0.0,0,1,-1.3701612903225806
1901-05-22,0.0,0,2,-0.8693548383251313
1901-05-23,0.0,0,3,-1.0516129028412604
1901-05-24,5.8,1,0,4.668548387289047
1901-05-25,0.0,0,1,-1.7741935483870968
1901-05-26,0.0,0,2,-0.957258064516129
1901-05-27,0.0,0,3,-1.8233870967741934
1901-05-28,0.7,1,0,-0.0346774193548387
1901-05-29,0.0,0,1,-0.5919354838709678
1901-05-30,0.0,0,2,-0.7250000000000001
1901-05-31,0.0,0,3,-0.5145161290322581
1901-06-01,0.0,0,4,-1.125
1901-06-02,0.0,0,5,-1.525806451612903
1901-06-03,0.0,0,6,-2.799193545310728
1901-06-04,0.0,0,7,-1.560483870967742
