Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Annual
1901.0,26.2,48.9,7.199999999999999,15.2,76.8,1.1,11.7,42.7,113.6,91.60000000000001,445.6,188.1,1068.7
1902.0,210.1,7.2,5.1,0.0,6.7,39.8,17.5,98.8,55.4,321.5,528.8,401.0,1691.8999999999999
1903.0,69.6,0.5,0.0,13.2,132.3,41.1,33.1,76.0,378.6,75.0,265.8,505.2,1590.4
1904.0,182.9,0.0,0.0,3.0,140.0,26.0,24.7,52.7,34.2,144.0,118.7,256.1,982.3000000000001
1905.0,16.6,0.6,6.6,81.7,51.2,9.0,7.4,107.0,60.8,312.8,237.6,28.2,919.5000000000001
1906.0,49.6,2.4,3.1,0.0,1.9,58.7,73.39999999999999,167.3,37.8,330.9,802.4,380.1,1907.6
1907.0,38.0,5.8,4.9,35.0,16.7,31.2,39.6,28.7,130.0,240.3,561.9,62.1,1194.1999999999998
1908.0,32.9,114.0,27.1,0.7,59.7,47.2,46.9,42.5,109.2,527.3,52.7,165.4,1225.6
1909.0,74.3,32.2,0.6,17.7,90.3,4.199999999999999,16.1,122.2,124.3,42.8,119.3,83.8,727.7999999999998
1910.0,11.3,40.2,0.0,2.8,0.0,15.2,169.1,172.8,58.0,372.4,288.8,0.4,1131.0
1911.0,31.5,2.1,0.0,4.1,22.5,35.6,29.8,32.1,123.5,201.2,466.6,774.1,1723.1
1912.0,10.7,0.5,0.0,0.5,14.9,13.6,22.6,94.2,39.2,230.6,538.9,162.2,1127.8999999999999
1913.0,22.3,0.0,0.0,15.9,20.9,19.5,13.7,122.4,111.4,470.5,923.6999999999999,353.7,2074.0
1914.0,7.4,1.6,0.0,10.6,24.6,18.8,7.8,114.0,124.3,597.5,113.6,337.7,1357.9
1915.0,17.3,54.90000000000001,40.5,0.7,31.0,36.2,82.8,64.2,138.2,24.2,325.9,273.0,1088.9
1916.0,0.3,4.2,0.0,4.0,19.1,27.2,105.4,144.2,72.6,211.1,262.2,63.9,914.1999999999999
1917.0,98.7,7.2,8.6,0.0,15.1,38.4,41.3,76.5,111.9,79.7,772.1,87.7,1337.2
1918.0,81.60000000000001,22.8,5.0,0.6,57.40000000000001,36.90000000000001,53.1,37.9,47.7,41.5,759.6,242.5,1386.6
