Year,Cyclone_ID,Name,Date,Latitude,Longitude,Wind_Speed,Pressure,Grade,Basin of origin,Time (UTC),"CI No [or ""T. No""]","Pressure Drop (hPa)[or ""delta P""]",Outermost closed isobar (hPa),Diameter/Size of outermost closed isobar,BARBin of origin,,,,Diameter-Size of outermost closed isobar,"Pressure Drop(hPa)[or""delta P""]",Diameter/Size of outermost closed isobar(in degree),,,DD,MM,YYYY
1982,10.0,,1982-10-16 00:00:00,9.4,84.0,25,990,D,BOB,1200,1.5,3,,,,,,,,,,,,,,
1982,10.0,,1982-10-17 00:00:00,11.0,82.5,30,992,DD,BOB,1200,2.0,4,,,,,,,,,,,,,,
1982,10.0,,1982-10-17 00:00:00,12.0,82.0,35,994,CS,BOB,1800,2.5,6,,,,,,,,,,,,,,
1982,10.0,,1982-10-18 00:00:00,12.5,81.5,50,986,SCS,BOB,0000,3.0,14,,,,,,,,,,,,,,
1982,10.0,,1982-10-18 00:00:00,12.7,81.5,55,982,SCS,BOB,0300,3.5,18,,,,,,,,,,,,,,
1982,10.0,,1982-10-18 00:00:00,14.0,80.5,55,982,SCS,BOB,1200,3.5,18,,,,,,,,,,,,,,
1982,10.0,,1982-10-18 00:00:00,14.5,80.0,50,986,SCS,BOB,1800,3.0,14,,,,,,,,,,,,,,
1982,10.0,,1982-10-19 00:00:00,15.0,79.5,30,995,DD,BOB,0000,,5,,,,,,,,,,,,,,
1982,10.0,,1982-10-19 00:00:00,15.0,79.0,30,996,DD,BOB,0300,,4,,,,,,,,,,,,,,
1982,10.0,,1982-10-19 00:00:00,16.0,78.5,25,997,D,BOB,1200,,3,,,,,,,,,,,,,,
1982,10.0,,1982-10-20 00:00:00,17.0,78.5,20,998,D,BOB,0300,,3,,,,,,,,,,,,,,
1982,10.0,,1982-10-20 00:00:00,18.0,78.3,20,998,D,BOB,1200,,3,,,,,,,,,,,,,,
1982,10.0,,1982-10-21 00:00:00,19.0,79.2,20,998,D,BOB,0300,,3,,,,,,,,,,,,,,
1982,10.0,,1982-10-21 00:00:00,21.0,81.0,20,998,D,BOB,1200,,3,,,,,,,,,,,,,,
1982,12.0,,1982-12-02 00:00:00,7.5,84.0,25,,,BOB,1200,1.5,3,,,,,,,,,,,,,,
1982,12.0,,1982-12-03 00:00:00,9.0,82.0,25,,,BOB,0300,1.5,3,,,,,,,,,,,,,,
1982,12.0,,1982-12-03 00:00:00,9.5,79.5,25,,,BOB,1200,1.5,3,,,,,,,,,,,,,,
1982,12.0,,1982-12-04 00:00:00,9.7,79.0,25,,,BOB,0000,1.5,3,,,,,,,,,,,,,,
1983,7.0,,1983-12-21 00:00:00,7.5,81.0,25,,D,,1200,1.5,3.0995834159888913,,,LAND,,,,,,,,,,,
1983,7.0,,1983-12-22 00:00:00,8.5,80.5,25,,D,,0300,1.5,3.0995834159888913,,,LAND,,,,,,,,,,,
1983,7.0,,1983-12-22 00:00:00,9.5,79.5,25,,D,,1200,1.5,3.0995834159888913,,,LAND,,,,,,,,,,,
1984,5.0,,1984-11-09 00:00:00,9.5,87.5,25,,D,BOB,1200,1.5,3.0995834159888913,,,,,,,,,,,,,,
1984,5.0,,1984-11-10 00:00:00,9.5,87.5,30,,DD,BOB,0300,2.0,5,,,,,,,,,,,,,,
1984,5.0,,1984-11-10 00:00:00,10.0,86.0,30,,DD,BOB,1200,2.0,5,,,,,,,,,,,,,,
1984,5.0,,1984-11-10 00:00:00,10.0,84.0,30,,DD,BOB,1800,2.0,5,,,,,,,,,,,,,,
1984,5.0,,1984-11-11 00:00:00,10.5,82.5,30,,DD,BOB,0300,2.0,5,,,,,,,,,,,,,,
1984,5.0,,1984-11-11 00:00:00,10.8,82.0,35,,DD,BOB,0600,2.5,6.075183495338227,,,,,,,,,,,,,,
1984,5.0,,1984-11-11 00:00:00,11.0,81.5,40,,CS,BOB,1200,2.5,8,,,,,,,,,,,,,,
1984,5.0,,1984-11-12 00:00:00,12.0,80.5,55,,SCS,BOB,0300,3.5,15.001983733386234,,,,,,,,,,,,,,
1984,5.0,,1984-11-12 00:00:00,12.5,80.5,90,,SCS,BOB,1200,5.0,40.17060107121603,,,,,,,,,,,,,,
1984,5.0,,1984-11-13 00:00:00,13.5,80.5,90,,SCS,BOB,0300,5.0,40.17060107121603,,,,,,,,,,,,,,
1984,5.0,,1984-11-13 00:00:00,13.5,80.3,102,,SCS,BOB,1200,5.5,51.59690537591748,,,,,,,,,,,,,,
1984,5.0,,1984-11-13 00:00:00,13.5,80.0,115,,SCS,BOB,1800,6.0,65.58718508232494,,,,,,,,,,,,,,
1984,5.0,,1984-11-14 00:00:00,13.5,80.0,115,,SCS,BOB,0300,6.0,65.58718508232494,,,,,,,,,,,,,,
1984,5.0,,1984-11-14 00:00:00,13.5,79.5,65,,CS,BOB,1200,4.0,20.953183892084905,,,,,,,,,,,,,,
1984,6.0,,1984-11-27 00:00:00,8.5,85.5,25,,D,BOB,1200,1.5,3.0995834159888913,,,,,,SYSTEM CROSSED TN COAST JUST N OF KARAIKAL BET 0900 AND 0930 UTC NEAR (10.9/79.8) OF 1ST DEC,,,,,,,,
1984,6.0,,1984-11-28 00:00:00,9.0,85.0,25,,D,BOB,0300,1.5,3.0995834159888913,,,,,,,,,,,,,,
1984,6.0,,1984-11-28 00:00:00,9.5,84.5,30,,DD,BOB,1200,2.0,4.463400119024003,,,,,,,,,,,,,,
1984,6.0,,1984-11-28 00:00:00,9.5,84.5,35,,DD,BOB,1500,2.5,6.075183495338227,,,,,,,,,,,,,,
1984,6.0,,1984-11-29 00:00:00,9.5,84.5,45,,CS,BOB,0900,3.0,10.042650267804008,,,,,,,,,,,,,,
1984,6.0,,1984-11-30 00:00:00,9.5,84.5,55,,CS,BOB,0000,3.5,15.001983733386234,,,,,,,,,,,,,,
1984,6.0,,1984-11-30 00:00:00,9.5,84.5,115,,SCS,BOB,0300,6.0,65.58718508232494,,,,,,,,,,,,,,
1984,6.0,,1984-12-01 00:00:00,10.8,80.5,115,,SCS,BOB,0300,6.0,65.58718508232494,,,,,,,,,,,,,,
1984,6.0,,1984-12-01 00:00:00,11.0,79.0,55,,CS,BOB,1200,3.5,15.001983733386234,,,,,,,,,,,,,,
1984,6.0,,1984-12-01 00:00:00,11.5,77.5,30,,DD,BOB,1800,2.0,4.463400119024003,,,,,,,,,,,,,,
1984,6.0,,1984-12-02 00:00:00,11.5,74.0,25,,D,BOB,0300,1.5,3.0995834159888913,,,,,,,,,,,,,,
1987,9.0,,1987-12-19 00:00:00,10.5,82.0,25,,D,BOB,1200,1.5,,,,,,,,,,,,,,,
1987,9.0,,1987-12-19 00:00:00,10.5,82.0,25,,D,BOB,1800,1.5,,,,,,,,,,,,,,,
1987,9.0,,1987-12-20 00:00:00,10.5,82.0,25,,D,BOB,0000,1.5,,,,,,,,,,,,,,,
1987,9.0,,1987-12-20 00:00:00,10.5,82.0,25,,D,BOB,0300,1.5,,,,,,,,,,,,,,,
1987,9.0,,1987-12-20 00:00:00,11.0,82.5,25,,D,BOB,1200,1.5,,,,,,,,,,,,,,,
1987,9.0,,1987-12-20 00:00:00,11.5,83.5,25,,D,BOB,1800,1.5,,,,,,,,,,,,,,,
1987,9.0,,1987-12-21 00:00:00,12.0,84.0,25,,D,BOB,0000,1.5,,,,,,,,,,,,,,,
1987,9.0,,1987-12-21 00:00:00,12.0,84.5,30,,DD,BOB,0300,2.0,,,,,,,,,,,,,,,
1987,9.0,,1987-12-21 00:00:00,12.0,89.5,30,,DD,BOB,0600,2.0,,,,,,,,,,,,,,,
1987,9.0,,1987-12-21 00:00:00,12.0,84.5,30,,DD,BOB,1200,2.0,,,,,,,,,,,,,,,
1987,9.0,,1987-12-21 00:00:00,11.5,84.0,30,,DD,BOB,1800,2.0,,,,,,,,,,,,,,,
1987,9.0,,1987-12-22 00:00:00,10.5,83.0,30,,DD,BOB,0000,2.0,,,,,,,,,,,,,,,
